產品品號,單位,品      名,規      格,生產入庫,託外進貨,材料在製約量,人工製費在製約量,加工費用在製約量,材料成本,單位材料成本,材料成本(％),人工成本,單位人工成本,人工成本(％),製造費用,單位製造費用,製造費用(％),加工費用,單位加工費用,加工費用(％),生產成本,單位生產成本,本階人工成本,本階製造費用,本階加工費用
41017-0231502,PCS,TG6050 38*29.5*0.5mm 不背膠,長±0.4寬±0.3厚±0.05 100PCS/10000箱 全斷/格紋膜,500,,500.054,,,2080,2.0799,39.72,974,1.948,18.6,2182,4.364,41.67,,,,5236,8.3919,708,1525,
41017-0235401,PCS,TG4040LC 5*3*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/400000箱 半斷/藍色亮面膜,6006,,,,,265,0.0441,7.42,1038,0.1728,29.08,2267,0.3775,63.5,,,,3570,0.5944,938,2021,
41017-0238501,PCS,TG6050 45*35*2.5mm 不背膠,長寬±0.4厚±0.25 300PCS/1500箱 半斷/透明保護膜,,,100.03,100.03,,901,9.0073,82.74,60,0.5998,5.51,128,1.2796,11.75,,,,1089,10.8867,60,128,
41017-0243201,PCS,TG6050 8*8*3.5mm 不背膠,長寬±0.2厚±0.25 1000PCS/30000箱 半斷/格紋膜/每袋放紙板,1500,,,,,859,0.5727,62.84,161,0.1073,11.78,347,0.2313,25.38,,,,1367,0.9113,161,347,
41017-0245701,PCS,TG4040 21*9*1.5mm 不背膠,長±0.3寬±0.2厚±0.15 1000PCS/20000箱 半斷/格紋膜,1240,,,,,636,0.5129,60.34,132,0.1065,12.52,286,0.2306,27.13,,,,1054,0.85,132,286,
41017-0246201,PCS,TG6050 150*150*2.0mm 不背膠,長寬±0.8厚±0.20 1PCS/100箱 全斷/RS LOGO專用膜,100,,,,,7691,76.91,70.8,1005,10.05,9.25,2167,21.67,19.95,,,,10863,108.63,1005,2167,
41017-0246301,PCS,TG4040LC 71*22*3.0mm 單背TT500,長±0.6寬±0.3厚±0.25 500PCS/1500箱 膜斷/藍色凱亞膜/加拉拔10mm(22),200,,,,,2982,14.91,43.67,1219,6.095,17.85,2627,13.135,38.47,,,,6828,34.14,1219,2627,
41017-0247501,PCS,TG6050 35*35*0.5mm 不背膠,長寬±0.4厚±0.05 1000PCS/10000箱 膜斷/藍色保護膜/加拉拔15mm(35),860,,,,,2189,2.5453,36.57,1203,1.3988,20.1,2594,3.0163,43.33,,,,5986,6.9604,1203,2594,
41017-0248101,PCS,TG6050 15*10*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/30000箱 半斷/透明保護膜,9088,,14520.549,14520.549,,7388,0.3129,70.81,965,0.0409,9.25,2080,0.0881,19.94,,,,10433,0.4419,965,2080,
41017-0249501,PCS,TG6050 92*20*1.0mm 不背膠,長±0.6寬±0.3厚±0.10 500PCS/3000箱 膜斷/藍色保護膜,955,,,,,4452,4.6618,57.95,1024,1.0723,13.33,2206,2.3099,28.72,,,,7682,8.044,1024,2206,
41017-0250401,PCS,TG6050 10*7*4.0mm 不背膠,長寬±0.2厚±0.30 1000PCS/20000箱 半斷/透明保護膜,2000,,,,,1236,0.618,55.4,315,0.1575,14.12,680,0.34,30.48,,,,2231,1.1155,315,680,
41017-0252301,PCS,TG6050 15*15*2.5mm 單背3M8003,長±0.3寬±0.3厚±0.25 1000PCS/10000箱 膜斷/透明保護膜,800,,,,,1387,1.7338,48.63,464,0.58,16.27,1001,1.2513,35.1,,,,2852,3.5651,464,1001,
41017-0252802,PCS,TG6050 45*29.5*0.5mm 不背膠,長±0.4寬±0.3厚±0.05 100PCS/9000箱 全斷/格紋膜,320,,,,,799,2.4969,45.19,307,0.9594,17.36,662,2.0688,37.44,,,,1768,5.5251,307,662,
41017-0255002,PCS,TG6050 13.5*13.5*0.5mm 不背膠,長寬±0.3厚±0.05 250PCS/70000箱 全斷/藍色保護膜,200,,,,,78,0.39,13.61,157,0.785,27.4,338,1.69,58.99,,,,573,2.865,157,338,
41017-0255102,PCS,TG6050 68*40*0.5mm 不背膠,長±0.5寬±0.4厚±0.05 100PCS/4000箱 全斷/藍色保護膜,50,,,,,313,6.26,21.86,355,7.1,24.79,764,15.28,53.35,,,,1432,28.64,355,764,
41017-0270602,PCS,TG6050 79*74*1.0mm 不背膠,長寬±0.6厚±0.10 100PCS/1000箱 全斷/透明保護膜,54,,,,,709,13.1296,41.44,317,5.8704,18.53,685,12.6852,40.04,,,,1711,31.6852,317,685,
41017-0270801,PCS,TG4040 54*34*5.0mm 不背膠 沖型,長±0.5寬±0.4厚±0.35 100PCS/400箱 半斷/格紋膜/Z4001-0063801/量產模/40穴,1250,,,,,23042,18.4336,90.05,807,0.6456,3.15,1739,1.3912,6.8,,,,25588,20.4704,807,1739,
41017-0273501,PCS,TG6050 28*13*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/20000箱 半斷/透明保護膜,500,,,,,405,0.81,55.63,103,0.206,14.15,220,0.44,30.22,,,,728,1.456,103,220,
41017-0275301,PCS,TGX 10.5*10.5*0.5mm 不背膠,長寬±0.2厚±0.05 1000PCS/100000箱 半斷/請換藍色保護膜,610,,,,,391,0.641,56.91,94,0.1541,13.68,202,0.3311,29.4,,,,687,1.1262,94,202,
41017-0276501,PCS,TGX 15*10*1.5mm 不背膠,長±0.3寬±0.2厚±0.15 100PCS/30000箱 全斷,100,,,,,190,1.9,37.62,100,1,19.8,215,2.15,42.57,,,,505,5.05,100,215,
41017-0279401,PCS,TGX 25.5*21*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/20000箱 半斷/透明保護膜,1810,,,,,2734,1.5105,72.48,329,0.1818,8.72,709,0.3917,18.8,,,,3772,2.084,329,709,
41017-0282001,PCS,TGX 20*20*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/30000箱 半斷/透明保護膜,205,,,,,391,1.9073,27.12,327,1.5951,22.68,724,3.5317,50.21,,,,1442,7.0341,259,557,
41017-0283102,PCS,TGX 27*27*0.5mm 不背膠,長寬±0.3厚±0.05 100PCS/18000箱 全斷/藍色保護膜,10,,,,,130,13,31.4,90,9,21.74,194,19.4,46.86,,,,414,41.4,90,194,
41017-0283802,PCS,TGX 43*7.3*0.5mm 不背膠,長±0.4寬±0.2厚±0.05 100PCS/45000箱 全斷/藍色保護膜,65,,,,,130,2,20.77,157,2.4154,25.08,339,5.2154,54.15,,,,626,9.6308,157,339,
41017-0284202,PCS,TGX 30*20*0.5mm 不背膠,長寬±0.3厚±0.05 100PCS/24000箱 全斷/藍色保護膜,130,,,,,391,3.0077,20.67,476,3.6615,25.16,1025,7.8846,54.18,,,,1892,14.5538,476,1025,
41017-0289801,PCS,TGX 150*150*1.0mm 不背膠,長寬±0.8厚±0.10 1PCS/150箱 全斷/RS LOGO專用膜,302,,,,,24522,81.1987,76.25,2390,7.9139,7.43,5247,17.3742,16.32,,,,32159,106.4868,2083,4488,
41017-0296901,PCS,TGX 13*13*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/80000箱 半斷/格紋膜,90,,,,,134,1.4889,33.33,85,0.9444,21.14,183,2.0333,45.52,,,,402,4.4666,85,183,
41017-0299701,PCS,TGX 150*150*0.5mm 不背膠,長寬±0.8厚±0.05 1PCS/600箱 全斷/格紋膜,180,,,,,12131,67.3944,63.98,2056,11.4222,10.84,4775,26.5278,25.18,,,,18962,105.3444,962,2073,
41017-0301901,PCS,TG6050 16*16*3.0mm 不背膠,長寬±0.3厚±0.25 1000PCS/8000箱 半斷/透明保護膜,1000,,,,,1441,1.441,70.95,187,0.187,9.21,403,0.403,19.84,,,,2031,2.031,187,403,
41017-0306201,PCS,TG6050 5*5*2.0mm 不背膠,長寬±0.2厚±0.20 2000PCS/100000箱 半斷/透明保護膜,2110,,,,,154,0.073,24.14,153,0.0725,23.98,331,0.1569,51.88,,,,638,0.3024,153,331,
41017-0308701,PCS,TG6050 25*10*2.0mm 不背膠,長±0.3寬±0.2厚±0.20 2000PCS/14000箱 半斷/透明保護膜,9870,,,,,7533,0.7632,72.2,919,0.0931,8.81,1981,0.2007,18.99,,,,10433,1.057,919,1981,
41017-0308801,PCS,TG6050 22*11*4.5mm 不背膠,長寬±0.3厚±0.30 1000PCS/4000箱 半斷/透明保護膜,4200,,,,,7836,1.8657,82.8,516,0.1229,5.45,1112,0.2648,11.75,,,,9464,2.2534,516,1112,
41017-0308901,PCS,TG6050 10*10*1.0mm 不背膠,長寬±0.2厚±0.10 200PCS/70000箱 半斷/透明保護膜,16820,,,,,3440,0.2045,30.91,2438,0.1449,21.9,5252,0.3122,47.19,,,,11130,0.6616,2438,5252,
41017-0309001,PCS,TG6050 6*6*4.5mm 不背膠,長寬±0.2厚±0.30 10000PCS/40000箱 半斷/透明保護膜,8340,,,,,2138,0.2564,57.83,494,0.0592,13.36,1065,0.1277,28.81,,,,3697,0.4433,494,1065,
41017-0309601,PCS,TGX 26*26*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/9000箱 半斷/透明保護膜,500,,,,,1442,2.884,59.34,301,0.602,12.39,687,1.374,28.27,,,,2430,4.86,182,393,
41017-0309701,PCS,TGX 18*18*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/20000箱 半斷/透明保護膜,400,,,,,481,1.2025,43.57,189,0.4725,17.12,434,1.085,39.31,,,,1104,2.76,105,227,
41017-0309801,PCS,TGX 9*9*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/80000箱 半斷/透明保護膜,1000,,,,,320,0.32,44.82,122,0.122,17.09,272,0.272,38.1,,,,714,0.714,93,201,
41017-0309901,PCS,TGX 32*25*1.0mm 不背膠,長±0.4寬±0.3厚±0.10 1000PCS/8000箱 半斷/透明保護膜,500,,,,,1602,3.204,57.48,362,0.724,12.99,823,1.646,29.53,,,,2787,5.574,226,488,
41017-0310201,PCS,TGX 13.5*13.5*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/30000箱 半斷/透明保護膜,1000,,,,,801,0.801,49.57,251,0.251,15.53,564,0.564,34.9,,,,1616,1.616,174,374,
41017-0310301,PCS,TG4040 53*32*1.5mm 不背膠,長±0.5寬±0.4厚±0.15 500PCS/2000箱 膜斷/條狀/透明保護膜/加拉拔5mm(32),2670,,,,,11393,4.267,56.93,2732,1.0232,13.65,5888,2.2052,29.42,,,,20013,7.4954,2732,5888,
41017-0310601,PCS,TG4040LC 42.5*32*5.5mm 單背W203,長寬±0.4厚±0.35 100PCS/800箱 半斷/藍色亮面膜,2200,,202.991,202.991,,34981,14.5573,64.18,6189,2.5755,11.35,13338,5.5506,24.47,,,,54508,22.6834,6189,13338,
41017-0311601,PCS,TG4040LC 16.5*11*2.0mm 不背膠,長寬±0.3厚±0.20 2000PCS/20000箱 半斷/藍色亮面膜,2373,,,,,2037,0.8584,55.63,515,0.217,14.06,1110,0.4678,30.31,,,,3662,1.5432,515,1110,
41017-0315301,PCS,TG4040 30*30*2.0mm 不背膠,長寬±0.3厚±0.20 400PCS/4000箱 半斷/透明保護膜,234,,,,,751,3.2094,68.15,111,0.4744,10.07,240,1.0256,21.78,,,,1102,4.7094,111,240,
41017-0316301,PCS,TG4040LC 52*38*1.52mm 不背膠 沖型,長±0.5寬±0.4厚±0.15 200PCS/1800箱 全斷/凱亞膜/Z4001-0045001/量產模/24穴/裁48PCS,340,,,,,2645,7.7794,45.3,1012,2.9765,17.33,2182,6.4176,37.37,,,,5839,17.1735,1012,2182,
41017-0317501,PCS,TG4040F 63*37.5*1.5mm 不背膠,長±0.5寬±0.4厚±0.15 200PCS/1600箱 半斷,3110,,,,,27869,8.9611,84.35,1639,0.527,4.96,3531,1.1354,10.69,,,,33039,10.6235,1639,3531,
41017-0318002,PCS,TG6050 80*32*1.0mm 不背膠,長±0.6寬±0.4厚±0.10 100PCS/2000箱 全斷/藍色保護膜,,,50.036,50.036,,405,8.0942,51.33,121,2.4183,15.34,263,5.2562,33.33,,,,789,15.7687,121,263,
41017-0320801,PCS,TG4040 82*44*1.0mm 不背膠 沖型,長寬±0.3厚±0.10 100PCS/1000箱 膜斷/透明保護膜/Z4001-0046701/4MOD-2585/1090309-01/量產模/10穴/裁20PCS,,,1005.012,,,10321,10.2695,100,,,,,,,,,,10321,10.2695,,,
41017-0320901,PCS,TG6050 20*10*2.5mm 不背膠,長±0.3寬±0.2厚±0.25 1000PCS/10000箱 半斷/格紋膜,,,332.239,332.239,,454,1.3665,63.5,83,0.2498,11.61,178,0.5358,24.9,,,,715,2.1521,83,178,
41017-0321001,PCS,TG6050 28*17*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/7000箱 半斷/格紋膜,142,,166.114,166.114,,626,2.0317,44.33,243,0.7887,17.21,543,1.7623,38.46,,,,1412,4.5827,171,366,
41017-0322201,PCS,TG6050 23*23*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/10000箱 膜斷/藍色保護膜/加拉拔10mm(23),1000,,,,,1316,1.316,44.25,526,0.526,17.69,1132,1.132,38.06,,,,2974,2.974,526,1132,
41017-0323203,PCS,TG4040 8.5*8.5*2.0mm 不背膠,長寬±0.2厚±0.20 1000PCS/40000箱 半斷/透明保護膜,22500,,,,,5106,0.2269,41.22,2229,0.0991,18,5051,0.2245,40.78,,,,12386,0.5505,1438,3098,
41017-0323302,PCS,TG4040 80*14*3.0mm 不背膠,長±0.6寬±0.3厚±0.25 200PCS/1000箱 半斷/透明保護膜,22500,,,,,101701,4.52,81.67,7235,0.3216,5.81,15589,0.6928,12.52,,,,124525,5.5344,7235,15589,
41017-0327701,PCS,TG4040LC 16.5*11*3.0mm 不背膠,長±0.3寬±0.3厚±0.25 1000PCS/10000箱 半斷/藍色亮面膜,490,,,,,505,1.0306,45.83,189,0.3857,17.15,408,0.8327,37.02,,,,1102,2.249,189,408,
41017-0327801,PCS,TG4040LC 28*28*1.0mm 不背膠,長±0.3寬±0.3厚±0.10 1000PCS/8000箱 半斷/藍色亮面膜,300,,,,,688,2.2933,44.7,270,0.9,17.54,581,1.9367,37.75,,,,1539,5.13,270,581,
41017-0334101,PCS,TG4040 56*5*1.5mm 不背膠,長±0.5寬±0.2厚±0.15 1000PCS/10000箱 半斷/條狀/透明保護膜,6500,,,,,5383,0.8282,49.49,1665,0.2562,15.31,3830,0.5892,35.21,,,,10878,1.6736,893,1925,
41017-0337501,PCS,TG4040LC 60*20*4.0mm 不背膠,長±0.5寬±0.3厚±0.30 300PCS/1200箱 半斷/藍色亮面膜,100,,,,,1272,12.72,69.06,181,1.81,9.83,389,3.89,21.12,,,,1842,18.42,181,389,
41017-0340901,PCS,TG6050 60*40*0.5mm 不背膠,長±0.5寬±0.4厚±0.05 500PCS/5000箱 半斷/格紋膜,14,,,,,82,5.8571,17.45,123,8.7857,26.17,265,18.9286,56.38,,,,470,33.5714,123,265,
41017-0343101,PCS,TGX 250*250*0.5mm 不背膠,長寬±1.5厚±0.05 20PCS/100箱 全斷/透明保護膜,2444,,704,704,,823636,261.6379,89.04,32044,10.1792,3.46,69336,22.0254,7.5,,,,925016,293.8425,31121,67056,
41017-0343901,PCS,TG4040 35*20*1.5mm 不背膠,長±0.4寬±0.3厚±0.15 1000PCS/6000箱 半斷/條狀/透明保護膜/跳間隔3mm(20),300,,,,,751,2.5033,46.13,278,0.9267,17.08,599,1.9967,36.79,,,,1628,5.4267,278,599,
41017-0344001,PCS,TG4040 21*21*2.5mm 不背膠,長寬±0.3厚±0.25 1000PCS/4000箱 半斷/條狀/透明保護膜/跳間隔3mm(21),5900,,,,,10573,1.792,61.94,2059,0.349,12.06,4437,0.752,25.99,,,,17069,2.893,2059,4437,
41017-0344101,PCS,TG6050 14*10*2.5mm 不背膠,長±0.3寬±0.2厚±0.25 1000PCS/20000箱 半斷/透明保護膜,325,,,,,225,0.6923,36.89,120,0.3692,19.67,265,0.8154,43.44,,,,610,1.8769,98,211,
41017-0344201,PCS,TG6050 24*10*2.0mm 不背膠,長±0.3寬±0.2厚±0.20 1000PCS/10000箱 半斷/透明保護膜,84,,,,,153,1.8214,30.06,111,1.3214,21.81,245,2.9167,48.13,,,,509,6.0595,88,189,
41017-0345001,PCS,TG6050 27*21*2.5mm 不背膠,長寬±0.3厚±0.25 500PCS/5000箱 半斷/藍色保護膜,3030,,,,,7656,2.5267,89.29,291,0.096,3.39,627,0.2069,7.31,,,,8574,2.8296,291,627,
41017-0345101,PCS,TG6050 13*13*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/20000箱 半斷/藍色保護膜,7990,,,,,4304,0.5387,69.78,591,0.074,9.58,1273,0.1593,20.64,,,,6168,0.772,591,1273,
41017-0349201,PCS,TGX 21*15*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/20000箱 膜斷/藍色保護膜/加拉拔40mm(15),120,,,,,160,1.3333,22.38,176,1.4667,24.62,379,3.1583,53.01,,,,715,5.9583,176,379,
41017-0349401,PCS,TGX 20*20*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/20000箱 膜斷/藍色保護膜/加拉拔40mm(20),120,,,,,320,2.6667,35.05,188,1.5667,20.59,405,3.375,44.36,,,,913,7.6084,188,405,
41017-0349601,PCS,TG4040C 25*12*2.0mm 單背W204,長寬±0.3厚±0.20 1000PCS/10000箱 半斷/藍色亮面膜,1200,,,,,2005,1.6708,31.06,1411,1.1758,21.86,3039,2.5325,47.08,,,,6455,5.3791,1411,3039,
41017-0350201,PCS,TG4040 25*18*0.8mm 不背膠,長寬±0.3厚±0.08 1000PCS/10000箱 半斷/透明保護膜,5000,,,,,4510,0.902,68.02,672,0.1344,10.14,1448,0.2896,21.84,,,,6630,1.326,672,1448,
41017-0351201,PCS,TGX 300*300*2.0mm 不背膠,長寬±1.5厚±0.20 5PCS/40箱 全斷/透明保護膜,14,,,,,5466,390.4286,76.93,494,35.2857,6.95,1145,81.7857,16.12,,,,7105,507.5,246,532,
41017-0353101,PCS,TG6050 15*15*3.0mm 不背膠,長寬±0.3厚±0.25 1000PCS/9000箱 半斷/透明保護膜,150,,,,,720,4.8,51.36,214,1.4267,15.26,468,3.12,33.38,,,,1402,9.3467,191,412,
41017-0353201,PCS,TG4040S 28*17*1.5mm 不背膠,長寬±0.3厚±0.15 1000PCS/9000箱 半斷/透明保護膜,14840,,,,,19281,1.2993,77.42,1783,0.1201,7.16,3841,0.2588,15.42,,,,24905,1.6782,1783,3841,
41017-0359701,PCS,TG6050 7*7*4.0mm 不背膠,長寬±0.2厚±0.30 1000PCS/30000箱 半斷/透明保護膜,978,,,,,309,0.316,41.31,139,0.1421,18.58,300,0.3067,40.11,,,,748,0.7648,139,300,
41017-0362101,PCS,TG4040 22*11*3.25mm 不背膠 沖型,長寬±0.3厚±0.25 1000PCS/8000箱 半斷/透明保護膜/Z4001-0233101/3-MOD-C1879/1020520-02/量產模/48穴/1/2板全斷,770,,,,,1946,2.5273,40.38,911,1.1831,18.9,1962,2.5481,40.71,,,,4819,6.2585,911,1962,
41017-0369401,PCS,TG4040 52*28.5*2.0mm 不背膠,長±0.5寬±0.3厚±0.20 200PCS/2000箱 半斷/透明保護膜,61,,,,,451,7.3934,56.09,112,1.8361,13.93,241,3.9508,29.98,,,,804,13.1803,112,241,
41017-0369601,PCS,TG4040 14*14*3.2mm 不背膠,長寬±0.3厚±0.25 1000PCS/10000箱 半斷/透明保護膜,112,,,,,527,4.7054,67.74,80,0.7143,10.28,171,1.5268,21.98,,,,778,6.9465,80,171,
41017-0369701,PCS,TG4040 73*19*7.5mm 不背膠,長±0.6寬±0.3厚±0.40 100PCS/600箱 半斷/透明保護膜,61,,,,,803,13.1639,71.76,100,1.6393,8.94,216,3.541,19.3,,,,1119,18.3442,100,216,
41017-0369901,PCS,TGX 310*310*3.0mm 不背膠,長寬±1.5厚±0.25 2PCS/20箱 全斷/透明保護膜,115,,,,,66746,580.4,90.56,2204,19.1652,2.99,4750,41.3043,6.45,,,,73700,640.8695,2204,4750,
41017-0376701,PCS,TG4040LC 127*7.5*1.0mm 不背膠,長±0.8寬±0.2厚±0.10 1000PCS/6000箱 半斷/藍色亮面膜,200,,,,,504,2.52,44.09,202,1.01,17.67,437,2.185,38.23,,,,1143,5.715,202,437,
41017-0384801,PCS,TG6050 85*40*0.5mm 不背膠,長±0.6寬±0.4厚±0.05 500PCS/3000箱 全斷/透明保護膜,60,,,,,469,7.8167,43.11,193,3.2167,17.74,426,7.1,39.15,,,,1088,18.1334,159,343,
41017-0384901,PCS,TGX 240*240*0.5mm 不背膠,長寬±1.5厚±0.05 10PCS/100箱 全斷/透明保護膜,14,,,,,3645,260.3571,61.16,698,49.8571,11.71,1617,115.5,27.13,,,,5960,425.7142,343,740,
41017-0386101,PCS,TG4040 19*6*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/60000箱 半斷/條狀/透明保護膜,2000,,,,,602,0.301,19.6,782,0.391,25.46,1688,0.844,54.95,,,,3072,1.536,782,1688,
41017-0392201,PCS,TG4040 23*15*4.0mm 單背S203,長寬±0.3厚±0.30 500PCS/5000箱 膜斷/透明保護膜,1000,,,,,2095,2.095,59.1,429,0.429,12.1,1021,1.021,28.8,,,,3545,3.545,118,254,
41017-0396301,PCS,TG4040 20*6*9.0mm 單背3M467,長±0.3寬±0.2厚±0.45 1000PCS/6000箱 半斷/透明保護膜,3840,,,,,6086,1.5849,61.87,1166,0.3036,11.85,2585,0.6732,26.28,,,,9837,2.5617,937,2020,
41017-0397001,PCS,TG4040 16*16*1.5mm 不背膠,長寬±0.3厚±0.15 1000PCS/15000箱 半斷/格紋膜/1/2板全斷,9400,,,,,6218,0.6615,60.16,1305,0.1388,12.63,2813,0.2993,27.22,,,,10336,1.0996,1305,2813,
41017-0397101,PCS,TG4040 13*13*2.5mm 不背膠,長寬±0.3厚±0.25 1000PCS/10000箱 半斷/格紋膜/1/2板全斷,10720,,,,,6314,0.589,57.63,1472,0.1373,13.44,3170,0.2957,28.93,,,,10956,1.022,1472,3170,
41017-0397201,PCS,TG4040 22*22*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/10000箱 半斷/格紋膜/1/2板全斷,1440,,,,,1530,1.0625,52.76,434,0.3014,14.97,936,0.65,32.28,,,,2900,2.0139,434,936,
41017-0397301,PCS,TG4040 7*7*2.0mm 不背膠,長寬±0.2厚±0.20 1000PCS/70000箱 半斷/格紋膜/1/2板全斷,6870,,,,,1065,0.155,42.4,458,0.0667,18.23,989,0.144,39.37,,,,2512,0.3657,458,989,
41017-0398601,PCS,TG4040 24*19*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/7000箱 半斷/透明保護膜,1000,,,,,1652,1.652,62.91,309,0.309,11.77,665,0.665,25.32,,,,2626,2.626,309,665,
41018-0001601,PCS,TG-A1780 150*150*1.0mm 不背膠,長寬±0.8厚±0.10 50PCS/200箱 全斷/透明保護膜,52,,,,,24306,467.4231,95.09,397,7.6346,1.55,858,16.5,3.36,,,,25561,491.5577,397,858,
41018-0002801,PCS,TG-A6200 60*20*2.0mm 不背膠,長±0.5寬±0.3厚±0.20 1000PCS/2000箱 半斷/透明保護膜,,,27.926,27.926,,150,5.3713,34.88,89,3.187,20.7,191,6.8395,44.42,,,,430,15.3978,89,191,
41018-0003201,PCS,TG-A6200 90*90*0.5mm 不背膠 沖型,長寬±0.6厚±0.05 100PCS/1000箱 全斷/透明保護膜/Z4001-0313401/量產模/9穴/利用率9,2000,,,,,36410,18.205,51.06,11062,5.531,15.51,23835,11.9175,33.43,,,,71307,35.6535,11062,23835,
41018-0005601,PCS,TG-A6200 17*17*3.3mm 不背膠,長寬±0.3厚±0.30 700PCS/7000箱 半斷/藍色亮面膜/大小板不報廢/每袋數量不可多給,7617,,,,,9297,1.2206,74.68,999,0.1312,8.02,2153,0.2827,17.29,,,,12449,1.6345,999,2153,
41018-0005701,PCS,TG-A6200 17*17*1.5mm 不背膠,長寬±0.3厚±0.15 1000PCS/15000箱 半斷/格紋膜/大小板不報廢/每袋數量不可多給,3620,,3132.862,3132.862,,5581,0.8265,73.45,640,0.0948,8.42,1377,0.2039,18.12,,,,7598,1.1252,640,1377,
41018-0007101,PCS,TG-A1250 30*30*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/8000箱 半斷/透明保護膜,706,,,,,1878,2.6601,55.68,463,0.6558,13.73,1032,1.4618,30.6,,,,3373,4.7777,351,757,
41018-0009001,PCS,TG-A6200 100*100*0.5mm 不背膠,長寬±0.6厚±0.05 100PCS/1200箱 全斷/透明保護膜,426,,378.99,378.99,,14677,18.2325,56.54,3576,4.4423,13.78,7705,9.5715,29.68,,,,25958,32.2463,3576,7705,
41018-0009201,PCS,TG-A3500 20*20*1.0mm 不背膠,長寬±0.3厚±0.10 3000PCS/12000箱 半斷/條狀/透明保護膜,5852,,,,,4713,0.8054,45.9,1761,0.3009,17.15,3794,0.6483,36.95,,,,10268,1.7546,1761,3794,
41018-0010201,PCS,TG-A6200 16*16*1.0mm 不背膠,長寬±0.3厚±0.10 3000PCS/27000箱 半斷/透明保護膜,3220,,3725.578,3725.578,,3707,0.5337,70.66,488,0.0703,9.3,1051,0.1513,20.03,,,,5246,0.7553,488,1051,
41018-0010601,PCS,TG-A6200 20*10*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 10000PCS/70000箱 半斷/透明保護膜,903,,,,,321,0.3555,33.83,199,0.2204,20.97,429,0.4751,45.21,,,,949,1.051,199,429,
41018-0010701,PCS,TG-A6200 20*10*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/35000箱 半斷/透明保護膜,,,2564.162,2564.162,,1202,0.4688,87.04,57,0.0222,4.13,122,0.0476,8.83,,,,1381,0.5386,57,122,
41018-0011001,PCS,TG-A6200 24*21.01*0.5mm 不背膠,長寬±0.3厚±0.05 2000PCS/20000箱 半斷/透明保護膜,466,,,,,401,0.8605,37.55,211,0.4528,19.76,456,0.9785,42.7,,,,1068,2.2918,211,456,
41018-0011701,PCS,TG-A6200 25*25*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/5000箱 半斷/透明保護膜,2776,,,,,5858,2.1102,78.27,516,0.1859,6.89,1110,0.3999,14.83,,,,7484,2.696,516,1110,
41018-0011901,PCS,TG-A6200 28*28*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/8000箱 半斷/透明保護膜,,,374.216,374.216,,702,1.8759,90.7,23,0.0615,2.97,49,0.1309,6.33,,,,774,2.0683,23,49,
41018-0012101,PCS,TG-A6200 30*30*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/8000箱 半斷/透明保護膜,,,797.192,797.192,,1704,2.1375,74.09,189,0.2371,8.22,407,0.5105,17.7,,,,2300,2.8851,189,407,
41018-0012301,PCS,TG-A6200 33.9*33.9*1.0mm 不背膠,長寬±0.4厚±0.10 1000PCS/5000箱 半斷/透明保護膜,274,,,,,701,2.5584,58.66,150,0.5474,12.55,344,1.2555,28.79,,,,1195,4.3613,82,176,
41018-0012401,PCS,TG-A6200 54*10*2.0mm 不背膠,長±0.5寬±0.2厚±0.20 1000PCS/6000箱 半斷/透明保護膜,441,,,,,901,2.0431,59.04,198,0.449,12.98,427,0.9683,27.98,,,,1526,3.4604,198,427,
41018-0012601,PCS,TG-A6200 5*5*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/250000箱 半斷/透明保護膜,,,3996.694,3996.694,,301,0.0753,43.75,123,0.0308,17.88,264,0.0661,38.37,,,,688,0.1722,123,264,
41018-0013301,PCS,TG-A3500 223.5*55*1.0mm 不背膠 沖型,長±1.5寬±0.5厚±0.10 50PCS/400箱 半斷/透明保護膜/Z4001-0036801/量產模/2穴/裁4PCS,213,,,,,8754,41.0986,53.42,2420,11.3615,14.77,5213,24.4742,31.81,,,,16387,76.9343,2420,5213,
